epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.37589,1.70894,3.07433,1.01215,0.01028,0.55612,0.51091,0.45576,0.97124,2.9555,0.85828,0.00028339,0.00028339,0.00028339
2,11.4537,1.20654,1.25371,0.88679,0.64083,0.60607,0.6373,0.52031,0.90322,2.63155,0.86247,0.000525688,0.000525688,0.000525688
3,15.0519,1.17756,1.1434,0.86935,1,0.24706,0.69768,0.5329,0.99386,2.37744,0.97316,0.000708575,0.000708575,0.000708575
4,18.6445,1.08845,1.06451,0.86403,0.92477,0.51179,0.86077,0.65421,0.87336,1.86886,0.8848,0.00083205,0.00083205,0.00083205
5,22.1501,1.05313,0.93335,0.85388,0.88529,0.71618,0.92525,0.72905,0.80856,1.17928,0.84541,0.000896113,0.000896113,0.000896113
6,25.557,1.00225,1.1205,0.84614,0.81201,0.77705,0.92602,0.72951,0.80449,1.06895,0.855,0.000841835,0.000841835,0.000841835
7,29.1102,1.01009,0.90378,0.83607,0.82973,0.83263,0.94106,0.77126,0.73295,0.83708,0.85033,0.000676802,0.000676802,0.000676802
8,32.5895,0.94497,0.83368,0.83634,0.8821,0.83298,0.93687,0.78893,0.66443,0.78868,0.82711,0.000511769,0.000511769,0.000511769
9,36.0434,0.94707,0.82994,0.83389,0.84592,0.91756,0.94933,0.80649,0.65292,0.67744,0.82624,0.000346736,0.000346736,0.000346736
10,39.5384,0.8615,0.87947,0.82905,0.87687,0.92293,0.95163,0.80813,0.65533,0.64525,0.82675,0.000181703,0.000181703,0.000181703
