Frame,Time(seconds),Time(ms)
video1_frame_000000,0.900640,900.64
video1_frame_000001,0.870192,870.19
video1_frame_000002,0.858637,858.64
video1_frame_000003,0.847366,847.37
video1_frame_000004,0.840039,840.04
video1_frame_000005,0.838146,838.15
video1_frame_000006,0.855503,855.50
video1_frame_000007,0.863906,863.91
video1_frame_000008,3.910385,3910.38
video1_frame_000009,0.853198,853.20
video1_frame_000010,0.846681,846.68
video1_frame_000011,0.854485,854.48
video1_frame_000012,0.871014,871.01
video1_frame_000013,0.843576,843.58
video1_frame_000014,0.839217,839.22
video1_frame_000015,0.840562,840.56
video1_frame_000016,0.847265,847.26
video1_frame_000017,0.848660,848.66
video1_frame_000018,0.849221,849.22
video1_frame_000019,0.861172,861.17
video1_frame_000020,0.847839,847.84
video1_frame_000021,0.848905,848.91
video1_frame_000022,0.849582,849.58
video1_frame_000023,0.850789,850.79
video1_frame_000024,0.852627,852.63
video1_frame_000025,0.848252,848.25
video1_frame_000026,0.836922,836.92
video1_frame_000027,0.847278,847.28
video1_frame_000028,0.854092,854.09
video1_frame_000029,0.850274,850.27
video1_frame_000030,0.845013,845.01
video1_frame_000031,0.897792,897.79
video1_frame_000032,0.895677,895.68
video1_frame_000033,0.865708,865.71
video1_frame_000034,0.871600,871.60
video1_frame_000035,0.881591,881.59
video1_frame_000036,0.885810,885.81
video1_frame_000037,0.872807,872.81
video1_frame_000038,0.849956,849.96
video1_frame_000039,0.843640,843.64
video1_frame_000040,0.855562,855.56
video1_frame_000041,0.849231,849.23
video1_frame_000042,0.849472,849.47
video1_frame_000043,0.855781,855.78
video1_frame_000044,0.864578,864.58
video1_frame_000045,3.913215,3913.21
video1_frame_000046,0.856606,856.61
