Frame,Time(seconds),Time(ms)
video1_frame_000000,0.178145,178.15
video1_frame_000001,0.017087,17.09
video1_frame_000002,0.015972,15.97
video1_frame_000003,0.015839,15.84
video1_frame_000004,0.014709,14.71
video1_frame_000005,0.015032,15.03
video1_frame_000006,0.006411,6.41
video1_frame_000007,0.015426,15.43
video1_frame_000008,0.006419,6.42
video1_frame_000009,0.016249,16.25
video1_frame_000010,0.010741,10.74
video1_frame_000011,0.006971,6.97
video1_frame_000012,0.007352,7.35
video1_frame_000013,0.016633,16.63
video1_frame_000014,0.006540,6.54
video1_frame_000015,0.015768,15.77
video1_frame_000016,0.006568,6.57
video1_frame_000017,0.006112,6.11
video1_frame_000018,0.006608,6.61
video1_frame_000019,0.006586,6.59
video1_frame_000020,0.006303,6.30
video1_frame_000021,0.006213,6.21
video1_frame_000022,0.006441,6.44
video1_frame_000023,0.006590,6.59
video1_frame_000024,0.011668,11.67
video1_frame_000025,0.013453,13.45
video1_frame_000026,0.006440,6.44
video1_frame_000027,0.015391,15.39
video1_frame_000028,0.006203,6.20
video1_frame_000029,0.007383,7.38
video1_frame_000030,0.007134,7.13
video1_frame_000031,0.006666,6.67
video1_frame_000032,0.006650,6.65
video1_frame_000033,0.006314,6.31
video1_frame_000034,0.006547,6.55
video1_frame_000035,0.014918,14.92
video1_frame_000036,0.006425,6.42
video1_frame_000037,0.006318,6.32
video1_frame_000038,0.006752,6.75
video1_frame_000039,0.015398,15.40
video1_frame_000040,0.006391,6.39
video1_frame_000041,0.006427,6.43
video1_frame_000042,0.012586,12.59
video1_frame_000043,0.006293,6.29
video1_frame_000044,0.006743,6.74
video1_frame_000045,0.006804,6.80
video1_frame_000046,0.006703,6.70
