epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.05518,0.58266,3.02531,0.98478,0.00333,1,0.95044,0.8929,0.34075,2.42534,0.81239,0.00018,0.00018,0.00018
2,8.42194,0.52039,1.76173,0.90482,0.00333,1,0.95932,0.83991,0.40607,2.48881,0.86318,0.00034238,0.00034238,0.00034238
3,10.4617,0.44203,1.52271,0.885,1,0.12001,0.99248,0.91615,0.35133,2.30456,0.82335,0.00046516,0.00046516,0.00046516
4,13.1427,0.52593,1.44133,0.9064,1,0.41848,0.9937,0.91273,0.38596,2.19347,0.82012,0.00054834,0.00054834,0.00054834
5,15.2063,0.49112,1.33696,0.88188,1,0.70875,0.995,0.89671,0.4443,1.96301,0.83403,0.00059192,0.00059192,0.00059192
6,17.8909,0.45902,1.24541,0.87423,1,0.98889,0.995,0.88726,0.45334,1.43184,0.86185,0.0005959,0.0005959,0.0005959
7,19.9918,0.42703,1.14717,0.89116,0.99286,1,0.995,0.90611,0.3761,1.1505,0.80503,0.00056028,0.00056028,0.00056028
8,22.0371,0.39711,1.09361,0.8392,0.99588,1,0.995,0.92562,0.34525,0.90531,0.81531,0.00048506,0.00048506,0.00048506
9,24.6464,0.4144,1.02465,0.85106,0.99579,1,0.995,0.96253,0.30366,0.7396,0.78562,0.00037024,0.00037024,0.00037024
10,26.7509,0.37561,1.00538,0.86066,0.99603,1,0.995,0.96354,0.26198,0.59703,0.77637,0.00021582,0.00021582,0.00021582
