epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.22752,0.61766,3.2378,0.92732,0.0105,0.96667,0.44754,0.4108,0.36745,2.92936,0.80486,8.574e-05,8.574e-05,8.574e-05
2,4.92373,0.5031,2.45966,0.87852,0.01029,1,0.55993,0.52102,0.36042,2.55814,0.78612,0.00017964,0.00017964,0.00017964
3,6.41511,0.47284,1.43178,0.86233,0.98179,0.19245,0.74846,0.65397,0.49525,2.22863,0.8024,0.000266937,0.000266937,0.000266937
4,7.96201,0.43926,1.02131,0.83868,0.96579,0.54444,0.92618,0.8697,0.34026,2.01023,0.79084,0.000347633,0.000347633,0.000347633
5,9.47267,0.38671,0.88827,0.841,0.95202,0.63333,0.95357,0.87626,0.38245,1.91193,0.79711,0.000421726,0.000421726,0.000421726
6,13.6802,0.38475,0.73503,0.82231,0.97657,0.65433,0.96178,0.91971,0.34437,1.89943,0.79407,0.000489218,0.000489218,0.000489218
7,15.2055,0.41381,0.72762,0.84123,0.97115,0.77861,0.96094,0.89356,0.3746,1.54041,0.79136,0.000550108,0.000550108,0.000550108
8,16.513,0.41369,0.69557,0.8482,0.96869,0.86898,0.96021,0.89436,0.37176,1.34118,0.78662,0.000604396,0.000604396,0.000604396
9,17.8025,0.3506,0.65934,0.83333,0.97027,0.9346,0.96554,0.92053,0.3265,1.28181,0.76982,0.000652081,0.000652081,0.000652081
10,19.2529,0.35648,0.64249,0.82428,0.97119,0.91775,0.97637,0.93504,0.31861,1.25806,0.76664,0.000693165,0.000693165,0.000693165
11,20.7234,0.34504,0.61074,0.83985,0.96745,0.96667,0.97843,0.95386,0.28933,1.15042,0.76208,0.000727647,0.000727647,0.000727647
12,22.2893,0.36422,0.61266,0.8415,0.97596,0.97631,0.98579,0.94983,0.28918,0.98901,0.7571,0.000755527,0.000755527,0.000755527
13,23.6547,0.35383,0.60494,0.82196,0.98178,0.97674,0.9895,0.94651,0.28954,0.96691,0.75725,0.000776804,0.000776804,0.000776804
14,25.1441,0.3428,0.63719,0.8329,0.98004,0.99741,0.98962,0.96427,0.28386,0.80304,0.75532,0.00079148,0.00079148,0.00079148
15,26.5761,0.34213,0.57855,0.82703,0.98188,0.99296,0.98855,0.9744,0.24407,0.62438,0.74978,0.000768802,0.000768802,0.000768802
16,28.0575,0.34481,0.55082,0.81823,0.97915,0.99028,0.98683,0.97238,0.22745,0.57872,0.74448,0.000721645,0.000721645,0.000721645
17,29.3255,0.31329,0.54578,0.81435,0.97982,0.9897,0.98683,0.97491,0.24471,0.58225,0.7494,0.000674488,0.000674488,0.000674488
18,30.744,0.32836,0.52194,0.81756,0.97931,0.99013,0.9893,0.97512,0.22428,0.59726,0.74923,0.000627331,0.000627331,0.000627331
19,32.1632,0.28937,0.57537,0.80971,0.98266,0.99032,0.98855,0.97278,0.22356,0.54419,0.75065,0.000580174,0.000580174,0.000580174
20,33.527,0.29823,0.51031,0.81283,0.97729,0.99883,0.9907,0.98006,0.20043,0.43543,0.74406,0.000533017,0.000533017,0.000533017
21,35.8713,0.19158,0.58325,0.78658,0.97936,1,0.99145,0.98029,0.20269,0.47778,0.74435,0.00048586,0.00048586,0.00048586
22,37.3617,0.20772,0.63055,0.76604,0.97972,1,0.9922,0.97906,0.2064,0.55136,0.74815,0.000438703,0.000438703,0.000438703
23,38.6981,0.21602,0.59178,0.763,0.98188,1,0.98747,0.97483,0.2148,0.44155,0.74891,0.000391546,0.000391546,0.000391546
24,39.9765,0.21346,0.59913,0.77259,0.98273,0.99983,0.9864,0.97689,0.19016,0.38061,0.74466,0.000344389,0.000344389,0.000344389
25,41.3496,0.20992,0.52834,0.76331,0.9819,1,0.9864,0.97906,0.1783,0.37741,0.74412,0.000297232,0.000297232,0.000297232
26,42.6596,0.1807,0.53062,0.76935,0.98232,1,0.98855,0.97643,0.17941,0.38117,0.74257,0.000250075,0.000250075,0.000250075
27,43.9707,0.19031,0.52171,0.75589,0.98393,1,0.98898,0.97859,0.17546,0.36185,0.74063,0.000202918,0.000202918,0.000202918
28,45.2959,0.17806,0.50492,0.76994,0.9849,1,0.98823,0.97756,0.1727,0.34746,0.74196,0.000155761,0.000155761,0.000155761
29,49.4991,0.18153,0.51047,0.75401,0.98535,1,0.98855,0.97791,0.17106,0.3462,0.74142,0.000108604,0.000108604,0.000108604
30,50.825,0.16033,0.50182,0.76686,0.98598,1,0.98962,0.9801,0.16568,0.34058,0.74117,6.1447e-05,6.1447e-05,6.1447e-05
